VOLTAITEM;STAITEMNBR;IST-Bestand;VOLTAUOM;Beschreib;Ort;VOLTAITEM;STAITEMNBR;
C1000008-AA;ST0012293;4;EA;CHASSIS FRAME LONGITUDIN;56L01001;C1000008-AA;ST0012294;Metal Fabrication
C1000009-AA;ST0012294;4;EA;CHASSIS FRAME LONGITUDIN;56L01001;C1000009-AA;ST0012295;Metal Fabrication
C1000015-AA;ST0012300;44;EA;SPACER- 6.5MM ID. 15MM O;47J10508;C1000015-AA;ST0012301;Fasteners
C1000016-AA;ST0012301;2 043,00;EA;M6X25X1.5 WASHER;47124099;C1000016-AA;ST0012302;Fasteners
C1000017-AA;ST0012302;18;EA;SIDE SKIRT HINGE;47J09310;C1000017-AA;ST0012303;Metal Fabrication
C1000017-AA;ST0012302;305;EA;SIDE SKIRT HINGE;47UKONTR;C1000017-AA;ST0012303;Metal Fabrication
C1000023-AA;ST0012304;18;EA;FRONT BRAKE KNUCKLE TO C;47J09511;C1000023-AA;ST0012305;Others (Sealing, NVH, Hoses, …)
C1000026-AA;ST0012307;69;EA;DIN9021 200HV M12 WASHER;47J10402;C1000026-AA;ST0012308;Fasteners
C1000027-AA;ST0012308;36;EA;BOLT.HEX HEAD.FLANGED.BS;47J10402;C1000027-AA;ST0012309;Fasteners
C1000028-AA;ST0012309;5;EA;NUT PLATE-CAB BUSH;47J09515;C1000028-AA;ST0012310;Metal Fabrication
C1000031-AA;ST0012311;-1;EA;IP LOWER BRACKET LH;12039999;C1000031-AA;ST0012312;Metal Fabrication
C1000034-AA;ST0012313;2;EA;LOADBOX 16T AMBIENT LHD;Auktion;C1000034-AA;ST0012314;Others (Sealing, NVH, Hoses, …)
C1000035-AA;ST0012314;1;EA;LOADBOX 16T AMBIENT LHD;Auktion;C1000035-AA;ST0012315;Others (Sealing, NVH, Hoses, …)
C1000036-AB;ST0024541;3;EA;END PANEL RR WITH COLUMN;47124099;C1000036-AB;ST0024542;Metal Fabrication
C1000036-AB;ST0024541;2;EA;END PANEL RR WITH COLUMN;WE47A;C1000036-AB;ST0024542;Metal Fabrication
C1000037-AA;ST0012316;1;EA;END PANEL RR WITH CANTIL;47124099;C1000037-AA;ST0012317;Metal Fabrication
C1000037-AC;ST0024399;48;EA;END PANEL RR WITH CANTIL;WE47A;C1000037-AC;ST0024400;Metal Fabrication
C1000037-AC;ST0024399;1;EA;END PANEL RR WITH CANTIL;47124099;C1000037-AC;ST0024400;Metal Fabrication
C1000037-AC;ST0024399;0;EA;END PANEL RR WITH CANTIL;VERSAND;C1000037-AC;ST0024400;Metal Fabrication
C1000038-AA;ST0012317;1;EA;END PANEL RR WITH CANTIL;47124099;C1000038-AA;ST0012318;Metal Fabrication
C1000038-AC;ST0024400;1;EA;END PANEL RR WITH CANTIL;VERSAND;C1000038-AC;ST0024401;Metal Fabrication
C1000038-AC;ST0024400;1;EA;END PANEL RR WITH CANTIL;47124099;C1000038-AC;ST0024401;Metal Fabrication
C1000038-AC;ST0024400;48;EA;END PANEL RR WITH CANTIL;WE47A;C1000038-AC;ST0024401;Metal Fabrication
C1000039-AA;ST0012318;1;EA;END PANEL RR WITH CANTIL;47124099;C1000039-AA;ST0012319;Metal Fabrication
C1000039-AC;ST0024401;50;EA;END PANEL RR WITH CANTIL;WE47A;C1000039-AC;ST0024402;Metal Fabrication
C1000039-AC;ST0024401;1;EA;END PANEL RR WITH CANTIL;47124099;C1000039-AC;ST0024402;Metal Fabrication
C1000039-AC;ST0024401;0;EA;END PANEL RR WITH CANTIL;VERSAND;C1000039-AC;ST0024402;Metal Fabrication
C1000041-AA;ST0012320;17;EA;CONTAINMENT PDU BRACKET;47J10212;C1000041-AA;ST0012321;Metal Fabrication
C1000042-AA;ST0012321;17;EA;CONTAINMENT SHEAR PLATE-;47J09106;C1000042-AA;ST0012322;Metal Fabrication
C1000043-AA;ST0012322;17;EA;CONTAINMENT PDU BRACKET;47J10212;C1000043-AA;ST0012323;Metal Fabrication
C1000075-AA;ST0012346;3;EA;SUB-ASSY-PNL-TRIM-STEP-R;Auktion2;C1000075-AA;ST0012347;Interior Trim 
C1000077-AA;ST0012348;200;EA;DIN9021 M12 300HV;47j11113;C1000077-AA;ST0012349;Fasteners
C1000081-AA;ST0012349;4;EA;BLIND SPOT LABEL UK CM-1;47124099;C1000081-AA;ST0012350;Others (Sealing, NVH, Hoses, …)
C1000082-AA;ST0012350;84;EA;BLIND SPOT LABEL FRANCE;47124099;C1000082-AA;ST0012351;Others (Sealing, NVH, Hoses, …)
C1000083-AA;ST0012351;31;EA;MAX VEHICLE HEIGHT 3.5M;47124099;C1000083-AA;ST0012352;Others (Sealing, NVH, Hoses, …)
C1000084-AA;ST0012352;20;EA;MAX VEHICLE HEIGHT 3.8M;47124099;C1000084-AA;ST0012353;Others (Sealing, NVH, Hoses, …)
C1000084-AA;ST0012352;19;EA;MAX VEHICLE HEIGHT 3.8M;12043229;C1000084-AA;ST0012353;Others (Sealing, NVH, Hoses, …)
C1000085-AA;ST0012353;11;EA;NO SMOKING LABEL CM-1323;47124099;C1000085-AA;ST0012354;Others (Sealing, NVH, Hoses, …)
C1000088-AA;ST0012354;3;EA;LOADBOX 16T AMBIENT LHD;Auktion;C1000088-AA;ST0012355;Others (Sealing, NVH, Hoses, …)
C1000089-AA;ST0012355;14;EA;FRONT END TUBE SEAL;VolKontr;C1000089-AA;ST0012356;Others (Sealing, NVH, Hoses, …)
C1000099-AA;ST0012359;12;EA;HOSE SUPERCLAMP 32-35;47J10402;C1000099-AA;ST0012360;Fasteners
C1000100-AA;ST0012360;13;EA;HOSE SUPERCLAMP 29-31;47J10402;C1000100-AA;ST0012361;Fasteners
C1000102-AA;ST0012362;11;EA;ROOF SHROUD LOWER NVH;47J11403;C1000102-AA;ST0012363;Others (Sealing, NVH, Hoses, …)
C1000112-AA;ST0019066;2 500,00;EA;M6 ROUND RIVNUT BOLLHOFF;U3002022;C1000112-AA;ST0019067;Fasteners
C1000117-AA;ST0012363;2;EA;NVH CENTRE LH UPPER - OU;Rework47;C1000117-AA;ST0012364;Others (Sealing, NVH, Hoses, …)
C1000117-AA;ST0012363;3;EA;NVH CENTRE LH UPPER - OU;U2503041;C1000117-AA;ST0012364;Others (Sealing, NVH, Hoses, …)
C1000118-AA;ST0012364;3;EA;NVH CENTRE LH LOWER -  O;22H25021;C1000118-AA;ST0012365;Others (Sealing, NVH, Hoses, …)
C1000119-AA;ST0012365;3;EA;NVH CENTRE RH UPPER -  O;U2503041;C1000119-AA;ST0012366;Others (Sealing, NVH, Hoses, …)
C1000120-AA;ST0012366;3;EA;NVH CENTRE RH LOWER -  O;U2503041;C1000120-AA;ST0012367;Others (Sealing, NVH, Hoses, …)
C1000121-AA;ST0012367;3;EA;NVH PASSENGER SEAT LH UP;U2503041;C1000121-AA;ST0012368;Others (Sealing, NVH, Hoses, …)
C1000122-AA;ST0012368;3;EA;NVH PASSENGER SEAT LH MI;U2503041;C1000122-AA;ST0012369;Others (Sealing, NVH, Hoses, …)
C1000123-AA;ST0012369;3;EA;NVH PASSENGER SEAT LH LO;U4004032;C1000123-AA;ST0012370;Others (Sealing, NVH, Hoses, …)
